CODE;FILE_EXT;MEDIA_TYPE;MAX_FILE_SIZE
sap.ino.config.PNG;png;image/png;10485760
sap.ino.config.JPG;jpg;image/jpg;10485760
sap.ino.config.JPEG;jpeg;image/jpeg;10485760
sap.ino.config.GIF;gif;image/gif;10485760
sap.ino.config.TIFF;tiff;image/tiff;10485760
sap.ino.config.TIF;tif;image/tif;10485760
sap.ino.config.BMP;bmp;image/bmp;10485760
sap.ino.config.WMF;wmf;image/x-wmf;10485760
sap.ino.config.PSD;psd;image/photoshop;10485760
sap.ino.config.CAD;cad;application/acad;10485760
sap.ino.config.TXT;txt;text/plain;10485760
sap.ino.config.TEXT;text;text/plain;10485760
sap.ino.config.CSV;csv;text/comma-separated-values;10485760
sap.ino.config.MSG;msg;application/vnd.ms-outlook;10485760
sap.ino.config.ICS;ics;application/vnd.ms-outlook;10485760
sap.ino.config.DOC;doc;application/msword;10485760
sap.ino.config.DOCX;docx;application/vnd.openxmlformats-officedocument.wordprocessingml.document;10485760
sap.ino.config.PPT;ppt;application/mspowerpoint;10485760
sap.ino.config.PPTX;pptx;application/vnd.openxmlformats-officedocument.presentationml.presentation;10485760
sap.ino.config.XLS;xls;application/msexcel;10485760
sap.ino.config.XLSX;xlsx;application/application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;10485760
sap.ino.config.PDF;pdf;application/pdf;10485760
sap.ino.config.PS;ps;application/postscript;10485760
sap.ino.config.EPS;eps;image/x-eps;10485760
sap.ino.config.RTF;rtf;text/rtf;10485760
sap.ino.config.KEYNOTE;keynote;application/x-iwork-keynote-sffkey;10485760
sap.ino.config.PAGES;pages;application/x-iwork-pages-sffpages;10485760
sap.ino.config.NUMBERS;numbers;application/x-iwork-numbers-sffnumbers;10485760
sap.ino.config.ODT;odt;application/vnd.oasis.opendocument.text;10485760
sap.ino.config.ODS;ods;application/vnd.oasis.opendocument.spreadsheet;10485760
sap.ino.config.ODP;odp;application/vnd.oasis.opendocument.presentation;10485760
sap.ino.config.VSD;vsd;application/visio;10485760
sap.ino.config.GZIP;gzip;application/gzip;10485760
sap.ino.config.ZIP;zip;application/zip;10485760
sap.ino.config.RAR;rar;application/x-rar-compressed;10485760
sap.ino.config.TGZ;tgz;application/x-gzip;10485760
sap.ino.config.GZ;gz;application/x-gzip;10485760
sap.ino.config.TAR;tar;application/tar;10485760
sap.ino.config.MP3;mp3;audio/mpeg;10485760
sap.ino.config.CAF;caf;audio/x-caf;10485760
sap.ino.config.WAV;wav;audio/x-wav;10485760
sap.ino.config.M4A;m4a;audio/mp4a-latm;10485760
sap.ino.config.WMV;wmv;video/x-ms-wmv;10485760
sap.ino.config.AVI;avi;video/x-msvideo;10485760
sap.ino.config.MOV;mov;video/quicktime;10485760
sap.ino.config.MP4;mp4;video/mp4;10485760
sap.ino.config.FLV;flv;video/x-flv;10485760