CODE;LANGUAGE_CODE;LOCALE_RFC_CODE;DEFAULT_TEXT;DEFAULT_LONG_TEXT
sap.ino.config.DE-DE;sap.ino.config.DE;de-DE;German (Germany);German (Germany)
sap.ino.config.DE-AT;sap.ino.config.DE;de-AT;German (Austria);German (Austria)
sap.ino.config.DE-CH;sap.ino.config.DE;de-CH;German (Switzerland);German (Switzerland)
sap.ino.config.EN-US;sap.ino.config.EN;en-US;English (United States);English (United States); English (United States)
sap.ino.config.EN-AU;sap.ino.config.EN;en-AU;English (Australia);English (Australia)
sap.ino.config.EN-GB;sap.ino.config.EN;en-GB;English (United Kingdom);English (United Kingdom)
sap.ino.config.EN-HK;sap.ino.config.EN;en-HK;English (Hongkong);English (Hongkong)
sap.ino.config.EN-IE;sap.ino.config.EN;en-IE;English (Ireland);English (Ireland)
sap.ino.config.EN-IN;sap.ino.config.EN;en-IN;English (India);English (India)
sap.ino.config.EN-NZ;sap.ino.config.EN;en-NZ;English (New Zealand);English (New Zealand)
sap.ino.config.EN-SG;sap.ino.config.EN;en-SG;English (Singapore);English (Singapore)
sap.ino.config.EN-ZA;sap.ino.config.EN;en-ZA;English (South Africa);English (South Africa)
sap.ino.config.ES-ES;sap.ino.config.ES;es-ES;Spanish (Spain);Spanish (Spain)
sap.ino.config.ES-AR;sap.ino.config.ES;es-AR;Spanish (Argentina);Spanish (Argentina)
sap.ino.config.ES-BO;sap.ino.config.ES;es-BO;Spanish (Bolivia);Spanish (Bolivia)
sap.ino.config.ES-CL;sap.ino.config.ES;es-CL;Spanish (Chile);Spanish (Chile)
sap.ino.config.ES-CO;sap.ino.config.ES;es-CO;Spanish (Colombia);Spanish (Colombia)
sap.ino.config.ES-MX;sap.ino.config.ES;es-MX;Spanish (Mexico);Spanish (Mexiko)
sap.ino.config.ES-PE;sap.ino.config.ES;es-PE;Spanish (Peru);Spanish (Peru)
sap.ino.config.ES-UY;sap.ino.config.ES;es-UY;Spanish (Uruguay);Spanish (Uruguay)
sap.ino.config.ES-VE;sap.ino.config.ES;es-VE;Spanish (Venzuela);Spanish (Venezuela)
sap.ino.config.FR-FR;sap.ino.config.FR;fr-FR;French (France);French (France)
sap.ino.config.FR-BE;sap.ino.config.FR;fr-BE;French (Belgium);French (Belgium)
sap.ino.config.FR-CA;sap.ino.config.FR;fr-CA;French (Canada);French (Canada)
sap.ino.config.FR-CH;sap.ino.config.FR;fr-CH;French (Switzerland);French (Switzerland)
sap.ino.config.FR-LU;sap.ino.config.FR;fr-LU;French (Luxembourg);French (Luxembourg)
sap.ino.config.JA-JA;sap.ino.config.JA;ja-JA;Japanese (Japan);Japanese (Japan)
sap.ino.config.PT-PT;sap.ino.config.PT;pt-PT;Portuguese (Portugal);Portuguese (Portugal)
sap.ino.config.RU-RU;sap.ino.config.RU;ru-RU;Russian (Russia);Russian (Russia)
sap.ino.config.RU-UA;sap.ino.config.RU;ru-UA;Russian (Ukraine);Russian (Ukraine)
sap.ino.config.ZH-CN;sap.ino.config.ZH;zh-CN;Chinese (Simplified);Chinese (Simplified)
sap.ino.config.ZH-HK;sap.ino.config.ZH;zh-HK;Chinese (Hongkong);Chinese (Hongkong)
sap.ino.config.ZH-SG;sap.ino.config.ZH;zh-SG;Chinese (Singapore);Chinese (Singapore)
sap.ino.config.ZH-TW;sap.ino.config.ZH;zh-TW;Chinese (Taiwan);Chinese (Taiwan)
sap.ino.config.AR-SA;sap.ino.config.AR;ar-SA;Arabic (Saudi Arabia);Arabic (Saudi Arabia)
sap.ino.config.AR-AE;sap.ino.config.AR;ar-AE;Arabic (United Arab Emirates);Arabic (United Arab Emirates)