CODE;BIZ_EVENT;ROLE_CODE
sap.ino.config.1;IDEA_CREATED;IDEA_CONTRIBUTOR
sap.ino.config.2;IDEA_UPDATED;IDEA_CONTRIBUTOR
sap.ino.config.3;IDEA_UPDATED;IDEA_SUBMITTER
sap.ino.config.4;CONTRIB_ADDED;IDEA_CONTRIBUTOR
sap.ino.config.5;CONTRIB_ADDED;IDEA_SUBMITTER
sap.ino.config.6;CONTRIB_REMOVED;IDEA_CONTRIBUTOR
sap.ino.config.7;CONTRIB_REMOVED;IDEA_SUBMITTER
sap.ino.config.8;COACH_ASSIGNED;IDEA_CONTRIBUTOR
sap.ino.config.9;COACH_ASSIGNED;IDEA_SUBMITTER
sap.ino.config.10;COACH_ASSIGNED;IDEA_COACH
sap.ino.config.11;COACH_UNASSIGNED;IDEA_CONTRIBUTOR
sap.ino.config.12;COACH_UNASSIGNED;IDEA_SUBMITTER
sap.ino.config.13;COACH_UNASSIGNED;IDEA_COACH
sap.ino.config.14;COMMENT_CREATED;IDEA_CONTRIBUTOR
sap.ino.config.15;COMMENT_CREATED;IDEA_SUBMITTER
sap.ino.config.16;COMMENT_CREATED;IDEA_COACH
sap.ino.config.21;STATUS_ACTION_sap.ino.config.START_NEXT_PHASE;IDEA_CONTRIBUTOR
sap.ino.config.22;STATUS_ACTION_sap.ino.config.START_NEXT_PHASE;IDEA_SUBMITTER
sap.ino.config.23;STATUS_ACTION_sap.ino.config.EVAL_SUBMIT;IDEA_COACH
sap.ino.config.24;STATUS_ACTION_sap.ino.config.EVAL_PUB_SUBMITTER;IDEA_CONTRIBUTOR
sap.ino.config.25;STATUS_ACTION_sap.ino.config.EVAL_PUB_SUBMITTER;IDEA_SUBMITTER
sap.ino.config.26;STATUS_ACTION_sap.ino.config.EVAL_PUB_COMMUNITY;IDEA_CONTRIBUTOR
sap.ino.config.27;STATUS_ACTION_sap.ino.config.EVAL_PUB_COMMUNITY;IDEA_SUBMITTER
sap.ino.config.28;IDEA_DELETED;IDEA_CONTRIBUTOR
sap.ino.config.29;IDEA_DELETED;IDEA_SUBMITTER
sap.ino.config.30;IDEA_DELETED;IDEA_COACH
sap.ino.config.31;COMMENT_DELETED;COMMENT_OWNER
sap.ino.config.32;COMMENT_UPDATED;COMMENT_OWNER
sap.ino.config.33;EXPERT_ASSIGNED;IDEA_EXPERT
sap.ino.config.34;EXPERT_ASSIGNED;IDEA_COACH
sap.ino.config.35;EXPERT_UNASSIGNED;IDEA_EXPERT
sap.ino.config.36;EXPERT_UNASSIGNED;IDEA_COACH
sap.ino.config.37;IDEA_CAMPAIGN_REASSIGN;IDEA_SUBMITTER
sap.ino.config.38;IDEA_CAMPAIGN_REASSIGN;IDEA_COACH
sap.ino.config.39;IDEA_CAMPAIGN_REASSIGN;IDEA_CONTRIBUTOR
sap.ino.config.40;COMMENT_CREATED;CAMPAIGN_MANAGER
sap.ino.config.41;COMMENT_CREATED;CAMPAIGN_COACH
sap.ino.config.43;IDEA_RELATION_sap.ino.config.COPIED_SOURCE;IDEA_SUBMITTER
sap.ino.config.44;IDEA_RELATION_sap.ino.config.COPIED_SOURCE;IDEA_COACH
sap.ino.config.45;IDEA_RELATION_sap.ino.config.COPIED_SOURCE;IDEA_CONTRIBUTOR
sap.ino.config.46;IDEA_RELATION_sap.ino.config.COPIED_TARGET;IDEA_SUBMITTER
sap.ino.config.47;IDEA_RELATION_sap.ino.config.COPIED_TARGET;IDEA_COACH
sap.ino.config.48;IDEA_RELATION_sap.ino.config.COPIED_TARGET;IDEA_CONTRIBUTOR
sap.ino.config.49;IDEA_RELATION_sap.ino.config.MERGED_SOURCE;IDEA_SUBMITTER
sap.ino.config.50;IDEA_RELATION_sap.ino.config.MERGED_SOURCE;IDEA_COACH
sap.ino.config.51;IDEA_RELATION_sap.ino.config.MERGED_SOURCE;IDEA_CONTRIBUTOR
sap.ino.config.52;IDEA_RELATION_sap.ino.config.MERGED_TARGET;IDEA_SUBMITTER
sap.ino.config.53;IDEA_RELATION_sap.ino.config.MERGED_TARGET;IDEA_COACH
sap.ino.config.54;IDEA_RELATION_sap.ino.config.MERGED_TARGET;IDEA_CONTRIBUTOR
sap.ino.config.55;IDEA_RELATION_sap.ino.config.DUPLICATE_SOURCE;IDEA_SUBMITTER
sap.ino.config.56;IDEA_RELATION_sap.ino.config.DUPLICATE_SOURCE;IDEA_COACH
sap.ino.config.57;IDEA_RELATION_sap.ino.config.DUPLICATE_SOURCE;IDEA_CONTRIBUTOR
sap.ino.config.58;IDEA_RELATION_sap.ino.config.DUPLICATE_TARGET;IDEA_SUBMITTER
sap.ino.config.59;IDEA_RELATION_sap.ino.config.DUPLICATE_TARGET;IDEA_COACH
sap.ino.config.60;IDEA_RELATION_sap.ino.config.DUPLICATE_TARGET;IDEA_CONTRIBUTOR
sap.ino.config.61;IDEA_FOLLOW_UP_OVERDUE;IDEA_ACTOR
sap.ino.config.62;STATUS_ACTION_sap.ino.config.EVAL_PUB_SUBMITTER;IDEA_COACH
sap.ino.config.63;STATUS_ACTION_sap.ino.config.COMPLETE;IDEA_CONTRIBUTOR
sap.ino.config.64;STATUS_ACTION_sap.ino.config.COMPLETE;IDEA_SUBMITTER
sap.ino.config.65;STATUS_ACTION_sap.ino.config.DISCONTINUE;IDEA_CONTRIBUTOR
sap.ino.config.66;STATUS_ACTION_sap.ino.config.DISCONTINUE;IDEA_SUBMITTER
sap.ino.config.67;IDEA_VOLUNTEERS_CREATE;IDEA_SUBMITTER
sap.ino.config.68;IDEA_VOLUNTEERS_CREATE;IDEA_COACH
sap.ino.config.69;EVAL_REQ_ITEM_CREATED;EVAL_REQUEST_EXPERT
sap.ino.config.70;EVAL_REQ_ITEM_DELETED;EVAL_REQUEST_EXPERT
sap.ino.config.71;STATUS_ACTION_sap.ino.config.EVAL_REQ_ACCEPT;EVAL_REQUEST_OWNER
sap.ino.config.72;STATUS_ACTION_sap.ino.config.EVAL_REQ_REJECT;EVAL_REQUEST_OWNER
sap.ino.config.73;EVAL_REQ_EXPIRE_IN_ONE_DAY;EVAL_REQUEST_EXPERT
sap.ino.config.74;STATUS_ACTION_sap.ino.config.EVAL_REQ_COMPLETE;EVAL_REQUEST_OWNER
sap.ino.config.75;EVAL_REQ_ITEM_EXPIRED;EVAL_REQUEST_EXPERT
sap.ino.config.76;IDEA_CREATED;RESP_COACH
sap.ino.config.77;COMMENT_DELETED;IDEA_CONTRIBUTOR
sap.ino.config.78;COMMENT_DELETED;IDEA_SUBMITTER
sap.ino.config.79;COMMENT_DELETED;IDEA_COACH
sap.ino.config.80;COMMENT_UPDATED;IDEA_CONTRIBUTOR
sap.ino.config.81;COMMENT_UPDATED;IDEA_SUBMITTER
sap.ino.config.82;COMMENT_UPDATED;IDEA_COACH
sap.ino.config.83;IDEA_CREATED;IDEA_SUBMITTER