ROLE_CODE;ACTUAL_ROLE_CODE
ASSIGNED_COACH;ASSIGNED_COACH
RL_COACH;RL_COACH
COACH;IDEA_COACH
COACH;RESP_COACH
COACH;CAMPAIGN_COACH
ASSIGNED_EXPERT;ASSIGNED_EXPERT
RL_EXPERT;RL_EXPERT
EXPERT;IDEA_EXPERT
EXPERT;CAMPAIGN_EXPERT
EXPERT;RESP_EXPERT
AUTHOR;IDEA_SUBMITTER
COAUTHOR;IDEA_CONTRIBUTOR
CAMPAIGN_MANAGER;CAMPAIGN_MANAGER
INNOVATION_MANAGER;INNOVATION_MANAGER
PARTICIPANT;CAMPAIGN_USER
FOLLOWER;FOLLOWER
FOLLOW_UP_PERSON;FOLLOW_UP_PERSON
APPLICANT;APPLICANT
CREATED_USER;CREATED_USER
INVITED_EXPERT;EVAL_REQUEST_EXPERT
VOLUNTEER;VOLUNTEER
COMMENTER;COMMENTER
VOTER;VOTER
CAMPAIGN_FOLLOWER;CAMPAIGN_FOLLOWER
TAG_FOLLOWER;TAG_FOLLOWER