ID;ACTION_CODE;ALLOW_INBOX_NOTIFICATION;ALLOW_EMAIL_NOTIFICATION;EMAIL_TEMPLATE_CODE;TEXT_MODULE_CODE;CHANGED_AT;CHANGED_BY_ID;ACTION_TYPE_CODE
1;SUBMIT_IDEA;1;1;;;;;IDEA
2;CHANGE_IDEA;1;1;;;;;IDEA
3;DELETE_IDEA;1;1;;;;;IDEA
4;CHANGE_IDEA_PHASE;1;1;;;;;IDEA
5;MERGE_IDEA;1;1;;;;;IDEA
6;VOTE_IDEA;1;1;;;;;IDEA
7;ADD_VOLUNTEER;1;1;;;;;IDEA
8;LOOKING_FOR_CONTRIBUTOR;1;1;;;;;IDEA
9;CHANGE_DECISION;1;1;;;;;IDEA
10;CHANGE_AUTHOR;1;1;;;;;IDEA
11;ASSIGN_COACH;1;1;;;;;IDEA
12;UNASSIGN_COACH;1;1;;;;;IDEA
13;ASSIGN_EXPERT;1;1;;;;;IDEA
14;UNASSIGN_EXPERT;1;1;;;;;IDEA
15;REASSIGN_CAMPAIGN;1;1;;;;;IDEA
16;CREATE_IDEA_COMMENT;1;1;;;;;IDEA
17;EDIT_IDEA_COMMENT;1;1;;;;;IDEA
18;DELETE_IDEA_COMMENT;1;1;;;;;IDEA
19;REPLY_IDEA_COMMENT;1;1;;;;;IDEA
20;IDEA_FOLLOW_UP;1;1;;;;;IDEA
21;EVALUATION_SUBMITTED;1;1;;;;;IDEA
22;EVALUATION_PUBLISHED_TO_AUTHOR;1;1;;;;;IDEA
23;EVALUATION_PUBLISHED_TO_COMMUNITY;1;1;;;;;IDEA
24;EVALUATION_UNPUBLISHED;1;1;;;;;IDEA
25;EVALUATION_REWORKED;1;1;;;;;IDEA
26;EVALUATION_DELETED;1;1;;;;;IDEA
27;CREATE_REWARD;1;1;;;;;IDEA
28;DELETE_REWARD;1;1;;;;;IDEA
29;CREATE_OBJECT;1;1;;;;;IDEA
30;UPDATE_OBJECT;1;1;;;;;IDEA
31;REMOVE_OBJECT;1;1;;;;;IDEA
32;EVALUATION_REQUEST_CREATED;1;1;;;;;IDEA
33;EVALUATION_REQUEST_DELETED;1;1;;;;;IDEA
34;EVALUATION_REQUEST_FORWARDED;1;1;;;;;IDEA
35;EVALUATION_REQUEST_ACCEPTED;1;1;;;;;IDEA
36;EVALUATION_REQUEST_COMPLETED;1;1;;;;;IDEA
37;EVALUATION_REQUEST_REJECTED;1;1;;;;;IDEA
38;RECEIPT_OF_REQUEST_CLARIFICATION;1;1;;;;;IDEA
39;DELIVERY_OF_REQUEST_CLARIFICATION;1;1;;;;;IDEA
40;EVALUATION_REQUEST_DUE_TO_EXPIRE;1;1;;;;;IDEA
41;PUBLISH_CAMPAIGN;1;1;;;;;CAMPAIGN
42;PUBLISH_FOR_REGISTRATION;1;1;;;;;CAMPAIGN
43;REGISTER_FOR_CAMPAIGN;1;1;;;;;CAMPAIGN
44;APPROVAL_LETTER_FOR_REGISTRATION;1;1;;;;;CAMPAIGN
47;PUBLISH_CAMPAIGN_BLOG;1;1;;;;;CAMPAIGN
48;EDIT_CAMPAIGN_BLOG;1;1;;;;;CAMPAIGN
49;DELETE_CAMPAIGN_BLOG;1;1;;;;;CAMPAIGN
50;CREATE_CAMPAIGN_COMMENT;1;1;;;;;CAMPAIGN
51;EDIT_CAMPAIGN_COMMENT;1;1;;;;;CAMPAIGN
52;DELETE_CAMPAIGN_COMMENT;1;1;;;;;CAMPAIGN
53;CHANGE_STATUS;1;1;;;;;STATUS
54;FOLLOW_IDEA;1;1;;;;;FOLLOW
55;UNFOLLOW_IDEA;1;1;;;;;FOLLOW
56;FOLLOW_CAMPAIGN;1;1;;;;;FOLLOW
57;UNFOLLOW_CAMPAIGN;1;1;;;;;FOLLOW
58;FOLLOW_TAG;1;1;;;;;FOLLOW
59;UNFOLLOW_TAG;1;1;;;;;FOLLOW
60;CREATE_DRAFT_CAMPAIGN;1;1;;;;;SYSTEM
61;CREATE_USER;1;1;;;;;SYSTEM
62;ADD_COAUTHOR;1;1;;;;;IDEA
63;REMOVE_COAUTHOR;1;1;;;;;IDEA
64;CAMPAIGN_START_SOON;1;1;;;;;SYSTEM
65;CAMPAIGN_DUE_TO_EXPIRE;1;1;;;;;SYSTEM
66;IDEA_SUBMISSION_SOON;1;1;;;;;SYSTEM
67;IDEA_SUBMISSION_DUE_TO_EXPIRE;1;1;;;;;SYSTEM
68;CAMPAIGN_REGISTRATION_SOON;1;1;;;;;SYSTEM
69;CAMPAIGN_REGISTRATION_DUE_TO_EXPIRE;1;1;;;;;SYSTEM
70;REJECT_LETTER_FOR_REGISTRATION;1;1;;;;;CAMPAIGN